sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S129,FJF,4,FJF4,35.44416667,138.7636111,0.51,0.18,7.16,pH>7,>7,3.42,0.18,18.99,0.035,1.44,23.597,0.336,0.012,0.003,0.14,0.222,0.092,0.204,0.074,0.576,0.297,0.006,0.102,0.813,0.513,2.626,0.338,2.48,47.7,0.36,131.07,38.1,34.52,0.79,43.82,35.57,16.94,0.36,47.63,26.1,76302309445,1610381910,0.021,46456210,62599066,0.7,15,Fujihokuroku-1,35,26,39,138,45,49,1100,flat,Im,Regosols,Entisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S13,SCB,3,SCB3,43.38805556,144.66,0.51,0.49,5.21,5<pH¡Ü6,5-6,11.18,0.78,14.37,0.909,13.316,145.653,1.438,0,0.216,0.316,1.087,0.625,1.124,0.293,3.4,0.843,0.164,0.079,5.502,2.024,8.146,0.67,0.91,46.14,0.78,59.08,3.08,44.8,1.09,41.13,5.8,36.6,1.5,24.37,98.5,2.44E+11,3431609603,0.014,238365580,66513111,3.6,2,"Shibecha, broadleaved forest",43,23,17,144,39,36,120,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Broadleaf
S130,FJF,5,FJF5,35.44416667,138.7636111,0.37,0.17,7.18,pH>7,>7,3.4,0.19,18.36,0.035,1.44,16.576,0.526,0.006,0.011,0.07,0.134,0.198,0.12,0.063,0.523,0.242,0.012,0.093,NA,0.183,NA,0.033,5.8,47.27,0.31,154.94,6.08,46.01,0.78,58.86,46.56,35.72,1.25,28.63,10.9,38816819246,726000174,0.019,69950728,12890894,5.4,15,Fujihokuroku-1,35,26,39,138,45,49,1100,flat,Im,Regosols,Entisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S131,FJS,1,FJS1,35.44416667,138.7633333,0.44,0.34,6.65,6<pH¡Ü7,6-7,9.63,0.67,14.45,0.094,3.301,37.198,0.456,0,0.043,0.283,0.418,0.137,0.264,0.103,0.424,0.251,0.017,0.11,1.645,1.953,3.484,0.47,3.4,47.1,0.26,180.38,18.89,42.64,1.18,36.18,31.57,33.47,1.13,29.5,77,1.82E+11,1690001017,0.009,41880015,124649677,0.3,15,Fujihokuroku-2,35,26,39,138,45,48,1100,flat,BlD,Andosols,Andisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S132,FJS,2,FJS2,35.44416667,138.7633333,0.45,0.39,6.67,6<pH¡Ü7,6-7,11.1,0.79,14.03,0.094,3.301,37.425,0.46,0,0.043,0.196,0.35,0.127,0.367,0.109,0.377,0.142,0.013,0.038,1.919,0.852,3.617,0.494,2.82,47.54,0.52,92.21,2.98,46.12,0.71,64.53,33.41,41.28,1.39,29.7,87.4,2.57E+11,1250476589,0.005,70351493,33354968,2.1,15,Fujihokuroku-2,35,26,39,138,45,48,1100,flat,BlD,Andosols,Andisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S133,FJS,3,FJS3,35.44416667,138.7633333,0.4,0.42,6.55,6<pH¡Ü7,6-7,13.94,0.98,14.26,0.094,3.301,40.496,0.762,0,0.224,0.274,0.497,0.283,0.571,0.153,0.882,0.342,0.015,0.069,2.229,NA,4.114,0.321,9.46,47.23,0.49,95.44,10.4,44.98,1.2,37.56,37.49,39.13,1.25,31.32,123.7,3.29E+11,3243069683,0.01,332387599,107482872,3.1,15,Fujihokuroku-2,35,26,39,138,45,48,1100,flat,BlD,Andosols,Andisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S134,FJS,4,FJS4,35.44416667,138.7633333,0.34,0.36,6.72,6<pH¡Ü7,6-7,10.8,0.78,13.8,0.094,3.301,31.271,0.4,0,0.028,0.194,0.394,0.107,0.281,0.135,0.701,0.278,0.008,0.041,0.903,0.994,2.394,NA,6.6,47.97,0.4,120.55,17.04,41.22,1.39,29.73,63.52,34.08,1.43,23.85,89.8,2.55E+11,799753364,0.003,548661243,47821182,11.5,15,Fujihokuroku-2,35,26,39,138,45,48,1100,flat,BlD,Andosols,Andisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S135,FJS,5,FJS5,35.44416667,138.7633333,0.38,0.42,6.81,6<pH¡Ü7,6-7,12.08,0.9,13.4,0.094,3.301,31.127,0.446,0,0.197,0.177,0.397,0.129,0.322,0.165,0.658,0.26,0.008,0.074,1.074,2.793,3.279,0.325,6.22,47.25,0.34,139.67,5.61,41.87,1.33,31.39,57.25,25.86,1.03,25.01,99.8,1.86E+11,606332431,0.003,928688128,81026938,11.5,15,Fujihokuroku-2,35,26,39,138,45,48,1100,flat,BlD,Andosols,Andisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S136,STN,1,STN1,35.26138889,137.0786111,0.61,0.24,3.88,pH¡Ü4,<4,6.62,0.21,31.22,3.495,0,260.997,0.894,0.02,0.278,0.102,0.048,0.268,0.045,0.238,44.313,18.165,0.055,0.018,2.79,0.054,3.72,0.726,0.37,48.18,0.32,151.88,0.43,47.58,0.53,89.88,10.3,48.35,1.12,43.25,23.3,49990463301,7163991595,0.143,374116,NA,NA,16,"Seto, flux site",35,15,41,137,4,43,200,S,BD(d),Cambisols,Inceptisols,Secondary evergreen broadleaved forest,Ilex pedunculosa,Pieris japonica subsp. japonica,14.6,1520,2013/10/28,2013/10/28,2013/10/28,Broadleaf
S137,STN,2,STN2,35.26138889,137.0786111,0.24,0.26,4.1,4<pH¡Ü5,4-5,9.09,0.34,26.38,3.495,0,194.289,0.858,0.119,0.502,0.279,0.131,0.398,0.046,0.853,30.26,11.369,0.477,0.009,0.911,NA,2.256,0.183,0.39,46.12,0.26,180.84,0.15,47.25,0.53,88.38,11.25,46.48,1.34,34.76,18,28491883768,5205785058,0.183,NA,NA,NA,16,"Seto, flux site",35,15,41,137,4,43,200,S,BD(d),Cambisols,Inceptisols,Secondary evergreen broadleaved forest,Ilex pedunculosa,Pieris japonica subsp. japonica,14.6,1520,2013/10/28,2013/10/28,2013/10/28,Broadleaf
S138,STN,3,STN3,35.26138889,137.0786111,0.83,0.19,4.04,4<pH¡Ü5,4-5,4.22,0.14,30.6,3.495,0,238.648,0.311,0.012,0.187,0.183,0.054,0.138,0,0.323,17.739,4.689,0.099,0.025,NA,NA,0.444,0.556,0.33,47.24,0.52,91.48,0.07,49.54,0.55,90.08,12.24,48.08,1.09,43.98,7.9,20539554131,4361735328,0.212,NA,NA,NA,16,"Seto, flux site",35,15,41,137,4,43,200,S,BD(d),Cambisols,Inceptisols,Secondary evergreen broadleaved forest,Ilex pedunculosa,Pieris japonica subsp. japonica,14.6,1520,2013/10/28,2013/10/28,2013/10/28,Broadleaf
S139,STN,4,STN4,35.26138889,137.0786111,0.82,0.23,4.31,4<pH¡Ü5,4-5,2.98,0.09,32.22,3.495,0,97.809,0.321,0.024,0.119,0.079,0.007,0.099,0.045,0.244,12.496,3.329,0.027,0,0.357,0.053,1.251,0.328,0.03,46.43,0.63,73.32,0.07,48.23,0.74,64.99,12.98,42.53,1.54,27.64,16.3,40550034576,3533328807,0.087,370065,NA,NA,16,"Seto, flux site",35,15,41,137,4,43,200,S,BD(d),Cambisols,Inceptisols,Secondary evergreen broadleaved forest,Ilex pedunculosa,Pieris japonica subsp. japonica,14.6,1520,2013/10/28,2013/10/28,2013/10/28,Broadleaf
S14,SCB,4,SCB4,43.38805556,144.66,0.41,0.49,5.3,5<pH¡Ü6,5-6,9.84,0.69,14.24,0.909,13.316,130.637,1.334,0,0.371,0.276,0.935,0.566,1.035,0.303,3.451,0.963,0.104,0.021,5.542,0.518,8.289,NA,1.6,46.08,0.82,56.5,2.81,43.96,1.14,38.69,7.45,40.13,1.7,23.61,51.2,1.23E+11,1703924502,0.014,141411380,29916740,4.7,2,"Shibecha, broadleaved forest",43,23,17,144,39,36,120,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Broadleaf
S140,STN,5,STN5,35.26138889,137.0786111,0.91,0.19,4.57,4<pH¡Ü5,4-5,3.03,0.09,32.29,3.495,0,51.835,0.328,0.021,0.205,0.106,0.042,0.21,0,0.48,12.142,3.712,0.129,0.01,1.835,NA,NA,NA,0.15,45.05,0.47,96.41,0.09,43.93,0.42,104.21,10.77,43.19,1.66,26.04,11.1,28228379666,2643980257,0.094,1370699,NA,NA,16,"Seto, flux site",35,15,41,137,4,43,200,S,BD(d),Cambisols,Inceptisols,Secondary evergreen broadleaved forest,Ilex pedunculosa,Pieris japonica subsp. japonica,14.6,1520,2013/10/28,2013/10/28,2013/10/28,Broadleaf
S141,ASA,1,ASA1,35.33444444,135.76,0.08,0.65,5.72,5<pH¡Ü6,5-6,12.53,0.79,15.86,2.672,10.659,52.951,1.072,0.007,0.084,0.208,0.434,0.465,0.443,0.562,1.047,0.203,0.129,0.234,3.058,2.461,7.121,NA,2.54,45.48,0.15,295.58,5,51.22,0.42,122.05,5.43,35.5,0.8,44.27,73.8,1.48E+11,870767271,0.006,1124200054,NA,NA,17,"Ashiu, artificial forest",35,20,4,135,45,36,690,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1972),Cryptomeria japonica,Almost no understory,11.9,2250,2012/11/28,2012/11/28,2012/11/28,Conifer
S142,ASA,2,ASA2,35.33444444,135.76,0.17,0.54,6.22,6<pH¡Ü7,6-7,7.56,0.46,16.57,2.672,10.659,31.728,1.099,0.005,0.023,0.139,0.268,0.439,0.336,0.346,0.348,0.149,0.016,0.248,2.856,0.838,4.659,NA,0.63,46.04,0.16,287.23,4.92,50.1,0.39,129.56,2.61,42.44,0.5,84.39,33.7,93511923525,471179418,0.005,241281427,11398826,21.2,17,"Ashiu, artificial forest",35,20,4,135,45,36,690,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1972),Cryptomeria japonica,Almost no understory,11.9,2250,2012/11/28,2012/11/28,2012/11/28,Conifer
S143,ASA,3,ASA3,35.33444444,135.76,0.36,0.52,5.55,5<pH¡Ü6,5-6,5,0.34,14.53,2.672,10.659,16.812,0.765,0.005,0.047,0.16,0.21,0.279,0.234,0.518,0.088,0.025,0.038,0.264,1.656,0.376,4.281,NA,2.93,45.37,0.23,194.01,4.88,49.05,0.5,98.64,10.32,24.21,0.71,34.18,34.9,83154430680,749265761,0.009,232846023,NA,NA,17,"Ashiu, artificial forest",35,20,4,135,45,36,690,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1972),Cryptomeria japonica,Almost no understory,11.9,2250,2012/11/28,2012/11/28,2012/11/28,Conifer
S144,ASA,4,ASA4,35.33444444,135.76,0.32,0.52,5.13,5<pH¡Ü6,5-6,7.36,0.46,15.92,2.672,10.659,31.299,0.789,0.004,0.072,0.186,0.535,0.391,0.338,0.668,0.782,0.086,0.112,0.196,3.38,0.991,6.187,NA,1.51,45.5,0.34,134.3,7.52,49.85,0.48,103.7,7.86,30.4,1.06,28.76,78.8,1.92E+11,1125942308,0.006,402298089,2821585,142.6,17,"Ashiu, artificial forest",35,20,4,135,45,36,690,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1972),Cryptomeria japonica,Almost no understory,11.9,2250,2012/11/28,2012/11/28,2012/11/28,Conifer
S145,ASA,5,ASA5,35.33444444,135.76,0.27,0.35,6.28,6<pH¡Ü7,6-7,2.78,0.21,13.31,2.672,10.659,25.241,0.814,0.004,0.04,0.114,0.169,0.361,0.168,0.283,0.124,0.107,0.007,0.178,1.504,0.115,3.556,NA,1.8,45.66,0.14,321.86,3.22,48.14,0.45,107.41,5.55,32.95,0.63,51.9,15.6,52641128691,119799809,0.002,39697325,962316,41.3,17,"Ashiu, artificial forest",35,20,4,135,45,36,690,NW,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1972),Cryptomeria japonica,Almost no understory,11.9,2250,2012/11/28,2012/11/28,2012/11/28,Conifer
S146,KGB,1,KGB1,35.07027778,135.7675,0.68,0.23,4.29,4<pH¡Ü5,4-5,8.49,0.23,36.47,1.53,0.312,160.21,0.523,0.004,0.095,0.024,0.029,0.198,0,0.138,5.268,2.218,0.446,0.001,0.673,0.069,0.772,0.802,0.26,46.66,0.27,175.95,0.21,47.96,0.61,78.49,11.09,44.18,0.94,46.99,12.2,25105328761,2696310396,0.107,NA,NA,NA,18,"Kamigamo, broadleaved forest",35,4,13,135,46,3,140,E,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica, Clethra barbinervis",14.2,1530,2012/10/29,2012/10/29,2012/10/29,Broadleaf
S147,KGB,2,KGB2,35.07027778,135.7675,0.54,0.19,4.44,4<pH¡Ü5,4-5,8.09,0.25,33.01,1.53,0.312,102.849,0.456,0.003,0.11,0.058,0.066,0.204,0,0.242,4.685,1.493,0.568,0,1.207,0.036,1.641,0.66,0.04,45.93,0.22,213.07,0.14,48.28,0.59,81.34,9.73,39.31,0.89,44.28,19,44487908528,5800329348,0.13,NA,NA,NA,18,"Kamigamo, broadleaved forest",35,4,13,135,46,3,140,E,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica, Clethra barbinervis",14.2,1530,2012/10/29,2012/10/29,2012/10/29,Broadleaf
S148,KGB,3,KGB3,35.07027778,135.7675,0.58,0.26,4.29,4<pH¡Ü5,4-5,9.82,0.33,30.05,1.53,0.312,194.73,1.317,0.004,0.135,0.062,0.054,0.472,0,0.219,16.816,8.546,0.397,0,2.262,NA,2.515,0.845,0.06,46.82,0.36,128.82,0.18,48.17,0.6,80.43,7.37,46.7,1.11,42.04,15.5,44835691963,4704891951,0.105,NA,NA,NA,18,"Kamigamo, broadleaved forest",35,4,13,135,46,3,140,E,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica, Clethra barbinervis",14.2,1530,2012/10/29,2012/10/29,2012/10/29,Broadleaf
S149,KGB,4,KGB4,35.07027778,135.7675,0.65,0.18,4.48,4<pH¡Ü5,4-5,7.21,0.21,33.59,1.53,0.312,108.748,0.955,0.004,0.105,0.02,0.031,0.32,0.045,0.284,7.107,3.933,0.547,0.001,3.039,0.012,4.035,0.309,0.25,47.93,0.26,183.11,1.11,48.28,0.67,72.17,13.9,45.83,0.99,46.07,15.9,26825323032,4455344500,0.166,NA,NA,NA,18,"Kamigamo, broadleaved forest",35,4,13,135,46,3,140,E,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica, Clethra barbinervis",14.2,1530,2012/10/29,2012/10/29,2012/10/29,Broadleaf
S15,SCB,5,SCB5,43.38805556,144.66,0.34,0.49,5.79,5<pH¡Ü6,5-6,9.32,0.68,13.77,0.909,13.316,104.985,1.3,0,0.222,0.286,0.964,0.534,1.017,0.242,2.068,0.62,0.062,0.015,6.131,0.925,8.889,NA,0.56,45.94,0.52,88.62,3.12,42.22,1.19,35.35,7.93,42.76,1.34,31.96,78.1,1.69E+11,2538031981,0.015,273415603,57903527,4.7,2,"Shibecha, broadleaved forest",43,23,17,144,39,36,120,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Broadleaf
S150,KGB,5,KGB5,35.07027778,135.7675,0.62,0.14,4.68,4<pH¡Ü5,4-5,5.1,0.16,32.1,1.53,0.312,67.163,0.302,0.008,0.103,0.119,0.063,0.146,0.048,0.429,0.314,0.143,1.954,0,2.298,NA,3.822,0.137,0.67,47,0.35,132.67,1.15,47.46,0.72,65.8,8.35,41.3,0.79,51.96,9.8,24330588512,3218477559,0.132,NA,NA,NA,18,"Kamigamo, broadleaved forest",35,4,13,135,46,3,140,E,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica, Clethra barbinervis",14.2,1530,2012/10/29,2012/10/29,2012/10/29,Broadleaf
S151,KGC,1,KGC1,35.06722222,135.7633333,0.44,0.18,4.77,4<pH¡Ü5,4-5,3.81,0.16,23.47,4.344,0.076,140.028,0.157,0.07,0.046,0.077,0.094,0.098,0.033,0.343,15.864,11.705,0.032,0.239,4.171,NA,5.384,0.071,0.22,48.45,0.26,186.55,0.01,44.31,1.09,40.54,37.48,46.85,1.28,36.68,24.7,48714844312,4744300721,0.097,NA,NA,NA,18,"Kamigamo, coniferous forest",35,4,2,135,45,48,190,N,BB,Cambisols,Inceptisols,Secondary coniferous forest,Chamaecyparis obtusa,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica",14.2,1530,2010/9/14,2012/7/10,2010/10/21,Conifer
S152,KGC,2,KGC2,35.06722222,135.7633333,0.44,0.33,4.63,4<pH¡Ü5,4-5,6.12,0.25,24.03,7.702,0.51,192.692,0.221,0.05,0.072,0.054,0.233,0.125,0.041,0.436,6.74,28.078,0.084,0.225,0.246,NA,0.749,NA,0.29,48.52,0.38,126.79,0.01,44.42,1.26,35.38,19.74,44.06,0.91,48.43,25.8,57817736000,4655400531,0.081,NA,NA,NA,18,"Kamigamo, coniferous forest",35,4,2,135,45,48,190,N,BB,Cambisols,Inceptisols,Secondary coniferous forest,Chamaecyparis obtusa,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica",14.2,1530,2010/9/14,2012/7/10,2010/10/21,Conifer
S153,KGC,3,KGC3,35.06722222,135.7633333,0.44,0.28,4.48,4<pH¡Ü5,4-5,7.21,0.25,29.3,5.628,0.087,195.038,0.205,0.029,0.08,0.078,0.204,0.108,0.01,0.399,11.8,2.904,0.01,0.652,1.182,0.047,2.381,0.106,0.15,47.49,0.53,88.85,0,47.48,5.64,8.42,23.87,45.29,1.37,32.97,29.9,51263412632,3303559922,0.064,NA,75322,NA,18,"Kamigamo, coniferous forest",35,4,2,135,45,48,190,N,BB,Cambisols,Inceptisols,Secondary coniferous forest,Chamaecyparis obtusa,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica",14.2,1530,2010/9/14,2012/7/10,2010/10/21,Conifer
S154,KGC,4,KGC4,35.06722222,135.7633333,0.44,0.25,4.8,4<pH¡Ü5,4-5,4.05,0.16,25.61,5.875,0.201,155.475,0.179,0.024,0.056,0.117,0.395,0.103,0.012,0.38,16.406,0.017,0.011,0.133,3.046,NA,4.2,0.147,0.22,49.43,0.4,123.11,0.01,50.57,0.99,51.09,34.09,47.51,1.34,35.58,24.7,54953471144,6577099638,0.12,NA,NA,NA,18,"Kamigamo, coniferous forest",35,4,2,135,45,48,190,N,BB,Cambisols,Inceptisols,Secondary coniferous forest,Chamaecyparis obtusa,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica",14.2,1530,2010/9/14,2012/7/10,2010/10/21,Conifer
S155,KGC,5,KGC5,35.06722222,135.7633333,0.44,0.25,4.79,4<pH¡Ü5,4-5,3.97,0.18,22.69,5.733,0.217,161.793,0.194,0.027,0.051,0.11,0.372,0.11,0.015,0.437,0,3.375,0.014,0,NA,0.047,NA,NA,0.01,48.63,0.4,121.49,0,45.56,1.68,27.16,31.55,46.92,1.26,37.26,33.7,80397327616,2511012754,0.031,NA,NA,NA,18,"Kamigamo, coniferous forest",35,4,2,135,45,48,190,N,BB,Cambisols,Inceptisols,Secondary coniferous forest,Chamaecyparis obtusa,"Rhododendron reticulatum, Lyonia ovalifolia var. elliptica, Eurya japonica",14.2,1530,2010/9/14,2012/7/10,2010/10/21,Conifer
S156,SBA,1,SBA1,32.37888889,131.0958333,0.57,0.42,5.1,5<pH¡Ü6,5-6,5.65,0.33,16.94,0.833,4.596,0,0.449,0,0.045,0.04,0.105,0.182,0.128,0.257,0.13,0.054,0.143,0.046,1.767,0.646,3.805,0.132,5.48,45.05,0.35,128.42,0.69,41.67,0.55,75.37,1.43,36.97,0.49,75.79,68,1.34E+11,1820536983,0.014,287194082,144610,1986,19,"Shiiba, artificial forest",32,22,44,131,5,45,1170,NE,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1960),Chamaecyparis obtusa,Almost no understory,13.1,2660,2012/11/13,2012/11/13,2012/11/13,Conifer
S157,SBA,2,SBA2,32.37888889,131.0958333,0.71,0.41,5.15,5<pH¡Ü6,5-6,4.21,0.25,16.58,0.833,4.596,1.985,0.426,0,0.03,0.032,0.106,0.175,0.084,0.262,0.134,0.036,0.084,0.065,1.501,0.28,3.338,0.83,0.96,32.29,0.32,100.01,0.75,40.71,0.41,99.65,1.78,35.58,0.38,93.09,54.5,1.41E+11,1306552623,0.009,182908751,1606308,113.9,19,"Shiiba, artificial forest",32,22,44,131,5,45,1170,NE,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1960),Chamaecyparis obtusa,Almost no understory,13.1,2660,2012/11/13,2012/11/13,2012/11/13,Conifer
S158,SBA,3,SBA3,32.37888889,131.0958333,0.47,0.43,4.99,4<pH¡Ü5,4-5,5.08,0.33,15.45,0.833,4.596,0,0.507,0,0.038,0.072,0.079,0.24,0.175,0.246,0.245,0.032,0.125,0.045,2.242,0.656,4.723,0.264,3.43,43.93,0.29,152.16,0.25,47.11,0.59,79.92,2.96,40.04,0.43,92.38,48.2,1.06E+11,667357615,0.006,319936498,603765,529.9,19,"Shiiba, artificial forest",32,22,44,131,5,45,1170,NE,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1960),Chamaecyparis obtusa,Almost no understory,13.1,2660,2012/11/13,2012/11/13,2012/11/13,Conifer
S159,SBA,4,SBA4,32.37888889,131.0958333,0.58,0.37,4.92,4<pH¡Ü5,4-5,5.93,0.31,19.35,0.833,4.596,16.516,0.376,0,0.039,0.048,0.109,0.146,0.24,0.169,0.226,0.027,0.138,0,2.048,0.653,4.483,0.376,5.34,46.41,0.44,105.73,0.53,47.82,0.69,69.42,1.02,25.56,0.4,64.6,48.6,71006315133,555637430,0.008,254815715,981915,259.5,19,"Shiiba, artificial forest",32,22,44,131,5,45,1170,NE,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1960),Chamaecyparis obtusa,Almost no understory,13.1,2660,2012/11/13,2012/11/13,2012/11/13,Conifer
S16,SCC,1,SCC1,43.3425,144.6341667,0.46,0.44,5.86,5<pH¡Ü6,5-6,6.62,0.45,14.83,0.551,5.493,69.871,1.079,0.005,0.077,0.153,0.661,0.496,0.528,0.17,2.138,0.686,0.219,0,1.111,0.096,3.432,NA,0.96,47.18,0.45,104.84,3.85,42.52,0.8,52.91,15.21,37.2,1.35,27.66,55.5,1.28E+11,2809066057,0.022,244039124,6553545,37.2,2,"Shibecha, coniferous forest",43,20,33,144,38,3,50,NW,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1959),Larix kaempferi,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Conifer
S160,SBA,5,SBA5,32.37888889,131.0958333,0.57,0.59,5.16,5<pH¡Ü6,5-6,10.33,0.74,13.98,0.833,4.596,30.432,0.656,0,0.14,0.126,0.483,0.336,0.537,0.325,0.753,0.049,0.131,0.063,4.745,2.119,6.086,1.001,1.88,43.97,0.39,112.91,1.5,42.84,0.51,84.82,1.66,26.54,0.32,82.67,156.9,2.77E+11,2650765791,0.01,1101095398,1237962,889.4,19,"Shiiba, artificial forest",32,22,44,131,5,45,1170,NE,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1960),Chamaecyparis obtusa,Almost no understory,13.1,2660,2012/11/13,2012/11/13,2012/11/13,Conifer
S161,SBN,1,SBN1,32.37638889,131.0972222,0.42,0.54,4.99,4<pH¡Ü5,4-5,6.79,0.52,13.17,8.297,4.45,54.267,0.291,0.034,0.17,0.064,0.923,0.072,0.258,0.318,0.105,0.035,0.013,0,17.019,3.236,20.257,2.88,0.13,45,0.66,67.69,0.45,39.89,1.4,28.46,1.7,42.44,1.18,35.91,140.2,1.65E+11,3803196212,0.023,233515039,2221275,105.1,19,"Shiiba, natural forest",32,22,35,131,5,50,1190,N,BD,Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Carpinus sp.,Sasamorpha borealis,13.1,2660,2010/8/4,2012/11/13,2010/10/26,Conifer
S162,SBN,2,SBN2,32.37638889,131.0972222,0.31,0.63,5.01,5<pH¡Ü6,5-6,11.48,0.81,14.23,10.754,5.517,62.707,0.348,0.103,0.277,0.073,1.341,0.131,0.321,0.4,0.199,0.033,0.003,0.015,6.889,7.874,7.43,NA,0.71,47.09,0.82,57.56,0.25,36.11,1.63,22.2,0.71,25.98,1.23,21.04,63.6,1.38E+11,2856401385,0.021,176794476,3066865,57.6,19,"Shiiba, natural forest",32,22,35,131,5,50,1190,N,BD,Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Carpinus sp.,Sasamorpha borealis,13.1,2660,2010/8/4,2012/11/13,2010/10/26,Conifer
S163,SBN,3,SBN3,32.37638889,131.0972222,0.46,0.58,5.04,5<pH¡Ü6,5-6,7.25,0.57,12.66,10.617,6.624,58.255,0.25,0.033,0.221,0.066,1.118,0.092,0.41,0.52,0.603,0.025,0,0,14.149,0.841,16.933,1.767,0.46,46.26,0.42,109.47,0.1,42.13,1.56,27.01,0.53,22.42,0.93,24.18,72.6,1.46E+11,1384214361,0.009,233397413,3151257,74.1,19,"Shiiba, natural forest",32,22,35,131,5,50,1190,N,BD,Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Carpinus sp.,Sasamorpha borealis,13.1,2660,2010/8/4,2012/11/13,2010/10/26,Conifer
