ID	Large_category	Small_category	Origin	Type	Name	Components
M00286	Genetic information processing	Replication system	Fungi	Complex	GINS complex	4
M00288	Genetic information processing	Replication system	Fungi	Complex	RPA complex	3
M00289	Genetic information processing	Replication system	Fungi	Complex	RF-C complex	3
M00290	Genetic information processing	Repair system	Fungi	Complex	Holo-TFIIH complex	10
M00291	Genetic information processing	Repair system	Fungi	Complex	MRN complex	3
M00292	Genetic information processing	Repair system	Fungi	Complex	MRX complex	3
M00293	Genetic information processing	DNA polymerase	Fungi	Complex	DNA polymerase zeta complex	2
M00340	Genetic information processing	Proteasome	Fungi	Complex	"Proteasome, 20S core particle"	14
M00341	Genetic information processing	Proteasome	Fungi	Complex	"Proteasome, 19S regulatory particle (PA700)"	19
M00351	Genetic information processing	Spliceosome	Fungi	Complex	"Spliceosome, U1-snRNP"	10
M00352	Genetic information processing	Spliceosome	Fungi	Complex	"Spliceosome, U2-snRNP"	20
M00354	Genetic information processing	Spliceosome	Fungi	Complex	"Spliceosome, U4/U6.U5 tri-snRNP"	30
M00355	Genetic information processing	Spliceosome	Fungi	Complex	"Spliceosome, 35S U5-snRNP"	31
M00367	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	Fungi	Pathway	"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"	3
M00379	Genetic information processing	Ubiquitin system	Fungi	Complex	SCF-MET30 complex	4
M00380	Genetic information processing	Ubiquitin system	Fungi	Complex	SCF-BTRC complex	4
M00384	Genetic information processing	Ubiquitin system	Fungi	Complex	Cul3-SPOP complex	3
M00386	Genetic information processing	Ubiquitin system	Fungi	Complex	Cul4-DDB1-CSA complex	4
M00389	Genetic information processing	Ubiquitin system	Fungi	Complex	APC/C complex	12
M00391	Genetic information processing	RNA processing	Fungi	Complex	"Exosome, eukaryotes"	10
M00392	Genetic information processing	RNA processing	Fungi	Complex	Ski complex	3
M00393	Genetic information processing	RNA processing	Fungi	Complex	TRAMP complex	3
M00395	Genetic information processing	RNA processing	Fungi	Complex	Decapping complex	5
M00396	Genetic information processing	Spliceosome	Fungi	Complex	Lsm 2-8 complex	7
M00397	Genetic information processing	Spliceosome	Fungi	Complex	Lsm 1-7 complex	7
M00398	Genetic information processing	Spliceosome	Fungi	Complex	Sm core complex	7
M00399	Genetic information processing	Spliceosome	Fungi	Complex	Cap binding complex	2
M00400	Genetic information processing	Protein processing	Fungi	Complex	p97-Ufd1-Npl4 complex	3
M00401	Genetic information processing	Protein processing	Fungi	Complex	Sec61 complex	3
M00404	Genetic information processing	Protein processing	Fungi	Complex	COPII complex	5
M00407	Genetic information processing	Ubiquitin system	Fungi	Complex	SCF-CDC4 complex	4
M00408	Genetic information processing	Protein processing	Fungi	Complex	ESCRT-0 complex	2
M00410	Genetic information processing	Protein processing	Fungi	Complex	ESCRT-II complex	3
M00411	Genetic information processing	Ubiquitin system	Fungi	Complex	SCF-GRR1 complex	4
M00415	Lipid metabolism	Fatty acid biosynthesis and degradation	Fungi	Pathway	"Fatty acid biosynthesis, elongation, endoplasmic reticulum"	4
M00425	Genetic information processing	RNA processing	Fungi	Complex	H/ACA ribonucleoprotein complex	4
M00428	Genetic information processing	RNA processing	Fungi	Complex	eIF4F complex	3
M00630	Carbohydrate metabolism	Other carbohydrate metabolism	Fungi	Pathway	"D-Galacturonate degradation (fungi), D-galacturonate => glycerol"	4
M00661	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	Fungi	Pathway	"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline"	3
M00672	Biosynthesis of other secondary metabolites	beta-Lactam biosynthesis	Fungi	Pathway	"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin"	3
M00691	Cellular processes	Cell signaling	Fungi	FuncSet	DNA damage-induced cell cycle checkpoints	3
M00692	Cellular processes	Cell signaling	Fungi	FuncSet	Cell cycle - G1/S transition	2
M00693	Cellular processes	Cell signaling	Fungi	FuncSet	Cell cycle - G2/M transition	2
M00695	Cellular processes	Cell signaling	Fungi	FuncSet	cAMP signaling	3
M00861	Lipid metabolism	Fatty acid biosynthesis and degradation	Fungi	Pathway	"beta-Oxidation, peroxisome, VLCFA"	3
M00014	Carbohydrate metabolism	Other carbohydrate metabolism	"	Animal"	Pathway	Glucuronate pathway (uronate pathway)	8
M00037	Amino acid metabolism	Aromatic amino acid metabolism	"	Animal"	Pathway	"Melatonin biosynthesis, tryptophan => serotonin => melatonin"	4
M00042	Amino acid metabolism	Aromatic amino acid metabolism	"	Animal"	Pathway	"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	4
M00043	Amino acid metabolism	Aromatic amino acid metabolism	"	Animal"	Pathway	"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	1
M00044	Amino acid metabolism	Aromatic amino acid metabolism	"	Animal"	Pathway	"Tyrosine degradation, tyrosine => homogentisate"	5
M00056	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"O-glycan biosynthesis, mucin type core"	4
M00058	Glycan metabolism	Glycosaminoglycan metabolism	"	Animal"	Pathway	"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone"	2
M00059	Glycan metabolism	Glycosaminoglycan metabolism	"	Animal"	Pathway	"Glycosaminoglycan biosynthesis, heparan sulfate backbone"	5
M00066	Lipid metabolism	Lipid metabolism	"	Animal"	Pathway	Lactosylceramide biosynthesis	2
M00068	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"	2
M00069	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"	2
M00070	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"	2
M00071	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"	2
M00075	Glycan metabolism	Glycan biosynthesis	"	Animal"	Pathway	"N-glycan biosynthesis, complex type"	9
M00077	Glycan metabolism	Glycosaminoglycan metabolism	"	Animal"	Pathway	Chondroitin sulfate degradation	4
M00078	Glycan metabolism	Glycosaminoglycan metabolism	"	Animal"	Pathway	Heparan sulfate degradation	8
M00385	Genetic information processing	Ubiquitin system	"	Animal/Plants"	Complex	Cul4-DDB1-DDB2 complex	4
M00047	Amino acid metabolism	Arginine and proline metabolism	"	Animal/Protists"	Pathway	Creatine pathway	3
M00402	Genetic information processing	Protein processing	"	Animal/Protists"	Complex	Translocon-associated protein (TRAP) complex	4
M00403	Genetic information processing	Protein processing	"	Animal/Protists"	Complex	HRD1/SEL1 ERAD complex	10
M00039	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	"	Plants"	Pathway	"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	10
M00076	Glycan metabolism	Glycosaminoglycan metabolism	 -	Pathway	Dermatan sulfate degradation	5
M00079	Glycan metabolism	Glycosaminoglycan metabolism	 -	Pathway	Keratan sulfate degradation	4
M00103	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	Cholecalciferol biosynthesis	2
M00104	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"	12
M00106	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"	2
M00107	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone"	2
M00108	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	3
M00109	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	4
M00110	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	3
M00129	Carbohydrate metabolism	Other carbohydrate metabolism	Animal	Pathway	"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"	7
M00131	Carbohydrate metabolism	Other carbohydrate metabolism	Animal	Pathway	"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol"	4
M00146	Energy metabolism	ATP synthesis	Animal	Complex	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	14
M00147	Energy metabolism	ATP synthesis	Animal	Complex	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	13
M00294	Genetic information processing	DNA polymerase	Animal	Complex	DNA polymerase gamma complex	2
M00337	Genetic information processing	Proteasome	Animal	Complex	Immunoproteasome	16
M00383	Genetic information processing	Ubiquitin system	Animal	Complex	ECV complex	5
M00388	Genetic information processing	Ubiquitin system	Animal	Complex	ECS complex	5
M00409	Genetic information processing	Protein processing	Animal	Complex	ESCRT-I complex	4
M00413	Genetic information processing	Repair system	Animal	Complex	FA core complex	10
M00424	Genetic information processing	Replication system	Animal	Complex	Shelterin complex	5
M00427	Genetic information processing	RNA processing	Animal	Complex	Nuclear pore complex	33
M00676	Cellular processes	Cell signaling	Animal	FuncSet	PI3K-Akt signaling	5
M00677	Cellular processes	Cell signaling	Animal	FuncSet	Wnt signaling	6
M00678	Cellular processes	Cell signaling	Animal	FuncSet	Hedgehog signaling	5
M00679	Cellular processes	Cell signaling	Animal	FuncSet	BMP signaling	3
M00680	Cellular processes	Cell signaling	Animal	FuncSet	TGF-beta signaling	3
M00681	Cellular processes	Cell signaling	Animal	FuncSet	Activin signaling	3
M00683	Cellular processes	Cell signaling	Animal	FuncSet	Hippo signaling	4
M00684	Cellular processes	Cell signaling	Animal	FuncSet	JAK-STAT signaling	3
M00685	Cellular processes	Cell signaling	Animal	FuncSet	Apoptotic machinery	3
M00686	Cellular processes	Cell signaling	Animal	FuncSet	Toll-like receptor signaling	8
M00688	Cellular processes	Cell signaling	Animal	FuncSet	MAPK (JNK) signaling	3
M00862	Lipid metabolism	Sterol biosynthesis	Animal	Pathway	"beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA"	3
M00353	Genetic information processing	Spliceosome	Animal/Plants	Complex	"Spliceosome, Prp19/CDC5L complex"	9
M00382	Genetic information processing	Ubiquitin system	Animal/Plants	Complex	SCF-FBS complex	4
M00430	Genetic information processing	RNA processing	Animal/Plants	Complex	Exon junction complex (EJC)	15
M00132	Carbohydrate metabolism	Other carbohydrate metabolism	Animal/Plants/Protists	Pathway	"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"	3
M00170	Energy metabolism	Carbon fixation	Animal/Plants/Protists	Pathway	"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"	4
M00295	Genetic information processing	Repair system	Animal/Plants/Protists	Complex	BRCA1-associated genome surveillance complex (BASC)	14
M00297	Genetic information processing	Repair system	Animal/Plants/Protists	Complex	DNA-PK complex	3
M00381	Genetic information processing	Ubiquitin system	Animal/Plants/Protists	Complex	SCF-SKP2 complex	4
M00387	Genetic information processing	Ubiquitin system	Animal/Plants/Protists	Complex	SCF-FBW7 complex	4
M00405	Genetic information processing	RNA processing	Animal/Plants/Protists	Complex	THC complex	5
M00406	Genetic information processing	RNA processing	Animal/Plants/Protists	Complex	TREX complex	8
M00412	Genetic information processing	Protein processing	Animal/Plants/Protists	Complex	ESCRT-III complex	9
M00414	Genetic information processing	Repair system	Animal/Plants/Protists	Complex	Bloom's syndrome complex	4
M00687	Cellular processes	Cell signaling	Animal/Plants/Protists	FuncSet	MAPK (ERK1/2) signaling	3
M00029	Amino acid metabolism	Arginine and proline metabolism	Animal/Protists	Pathway	Urea cycle	5
M00032	Amino acid metabolism	Lysine metabolism	Animal/Protists	Pathway	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	6..8
M00057	Glycan metabolism	Glycosaminoglycan metabolism	Animal/Protists	Pathway	"Glycosaminoglycan biosynthesis, linkage tetrasaccharide"	4
M00067	Lipid metabolism	Lipid metabolism	Animal/Protists	Pathway	"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"	2
M00130	Carbohydrate metabolism	Other carbohydrate metabolism	Animal/Protists	Pathway	"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"	4
M00296	Genetic information processing	Repair system	Animal/Protists	Complex	BER complex	5
M00426	Genetic information processing	RNA processing	Animal/Protists	Complex	Survival motor neuron (SMN) complex	2
M00682	Cellular processes	Cell signaling	Animal/Protists	FuncSet	Notch signaling	3
M00689	Cellular processes	Cell signaling	Animal/Protists	FuncSet	MAPK (p38) signaling	3
M00690	Cellular processes	Cell signaling	Animal/Protists	FuncSet	MAPK (ERK5) signaling	3
M00694	Cellular processes	Cell signaling	Animal/Protists	FuncSet	cGMP signaling	2
M00842	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Animal/Protists	Pathway	"Tetrahydrobiopterin biosynthesis, GTP => BH4"	3
M00097	Biosynthesis of terpenoids and polyketides	Other terpenoid biosynthesis	Plants	Pathway	"beta-Carotene biosynthesis, GGAP => beta-carotene"	6
M00113	Lipid metabolism	Lipid metabolism	Plants	Pathway	Jasmonic acid biosynthesis	8
M00114	Carbohydrate metabolism	Other carbohydrate metabolism	Plants	Pathway	"Ascorbate biosynthesis, plants, glucose-6P => ascorbate"	7..9
M00137	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	Plants	Pathway	"Flavanone biosynthesis, phenylalanine => naringenin"	5
M00138	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	Plants	Pathway	"Flavonoid biosynthesis, naringenin => pelargonidin"	3
M00171	Energy metabolism	Carbon fixation	Plants	Pathway	"C4-dicarboxylic acid cycle, NAD - malic enzyme type"	7
M00172	Energy metabolism	Carbon fixation	Plants	Pathway	"C4-dicarboxylic acid cycle, NADP - malic enzyme type"	4
M00366	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	Plants	Pathway	"C10-C20 isoprenoid biosynthesis, plants"	4
M00368	Amino acid metabolism	Cysteine and methionine metabolism	Plants	Pathway	"Ethylene biosynthesis, methionine => ethylene"	3
M00369	Amino acid metabolism	Other amino acid metabolism	Plants	Pathway	"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"	3
M00370	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	Plants	Pathway	"Glucosinolate biosynthesis, tryptophan => glucobrassicin"	5
M00371	Biosynthesis of terpenoids and polyketides	Other terpenoid biosynthesis	Plants	Pathway	"Castasterone biosynthesis, campesterol => castasterone"	6
M00372	Biosynthesis of terpenoids and polyketides	Other terpenoid biosynthesis	Plants	Pathway	"Abscisic acid biosynthesis, beta-carotene => abscisic acid"	5
M00532	Carbohydrate metabolism	Other carbohydrate metabolism	Plants	Pathway	Photorespiration	10
M00841	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Protists	Pathway	"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"	6
M00008	Carbohydrate metabolism	Central carbohydrate metabolism	Prokaryote	Pathway	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	4
M00016	Amino acid metabolism	Lysine metabolism	Prokaryote	Pathway	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	9
M00017	Amino acid metabolism	Cysteine and methionine metabolism	Prokaryote	Pathway	"Methionine biosynthesis, apartate => homoserine => methionine"	7
M00025	Amino acid metabolism	Aromatic amino acid metabolism	Prokaryote	Pathway	"Tyrosine biosynthesis, chorismate => tyrosine"	2..3
M00031	Amino acid metabolism	Lysine metabolism	Prokaryote	Pathway	"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	6
M00033	Amino acid metabolism	Serine and threonine metabolism	Prokaryote	Pathway	"Ectoine biosynthesis, aspartate => ectoine"	5
M00053	Nucleotide metabolism	Pyrimidine metabolism	Prokaryote	Pathway	"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	8
M00060	Glycan metabolism	Lipopolysaccharide metabolism	Prokaryote	Pathway	"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type"	9
M00061	Carbohydrate metabolism	Other carbohydrate metabolism	Prokaryote	Pathway	"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"	5
M00063	Glycan metabolism	Lipopolysaccharide metabolism	Prokaryote	Pathway	CMP-KDO biosynthesis	4
M00064	Glycan metabolism	Lipopolysaccharide metabolism	Prokaryote	Pathway	ADP-L-glycero-D-manno-heptose biosynthesis	5
M00088	Lipid metabolism	Lipid metabolism	Prokaryote	Pathway	"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"	5
M00116	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Menaquinone biosynthesis, chorismate => menaquinol"	2..4
M00117	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone"	9
M00119	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"	5
M00122	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Cobalamin biosynthesis, cobinamide => cobalamin"	7
M00124	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P"	6
M00127	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P"	5
M00136	Amino acid metabolism	Polyamine biosynthesis	Prokaryote	Pathway	"GABA biosynthesis, prokaryotes, putrescine => GABA"	4
M00140	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Prokaryote	Pathway	"C1-unit interconversion, prokaryotes"	3..4
M00144	Energy metabolism	ATP synthesis	Prokaryote	Complex	"NADH:quinone oxidoreductase, prokaryotes"	11..14
M00149	Energy metabolism	ATP synthesis	Prokaryote	Complex	"Succinate dehydrogenase, prokaryotes"	4
M00150	Energy metabolism	ATP synthesis	Prokaryote	Complex	"Fumarate reductase, prokaryotes"	4
M00153	Energy metabolism	ATP synthesis	Prokaryote	Complex	Cytochrome bd ubiquinol oxidase	3
M00155	Energy metabolism	ATP synthesis	Prokaryote	Complex	"Cytochrome c oxidase, prokaryotes"	2..3
M00156	Energy metabolism	ATP synthesis	Prokaryote	Complex	"Cytochrome c oxidase, cbb3-type"	3..4
M00157	Energy metabolism	ATP synthesis	Prokaryote	Complex	"F-type ATPase, prokaryotes and chloroplasts"	8
M00159	Energy metabolism	ATP synthesis	Prokaryote	Complex	"V/A-type ATPase, prokaryotes"	9
M00162	Energy metabolism	ATP synthesis	Prokaryote	Complex	Cytochrome b6f complex	8
M00173	Energy metabolism	Carbon fixation	Prokaryote	Pathway	Reductive citrate cycle (Arnon-Buchanan cycle)	10..12
M00174	Energy metabolism	Methane metabolism	Prokaryote	Pathway	"Methane oxidation, methanotroph, methane => formaldehyde"	2
M00175	Energy metabolism	Nitrogen metabolism	Prokaryote	Pathway	"Nitrogen fixation, nitrogen => ammonia"	1
M00178	Genetic information processing	Ribosome	Prokaryote	Complex	"Ribosome, bacteria"	52
M00179	Genetic information processing	Ribosome	Prokaryote	Complex	"Ribosome, archaea"	58
M00183	Genetic information processing	RNA polymerase	Prokaryote	Complex	"RNA polymerase, bacteria"	3..4
M00184	Genetic information processing	RNA polymerase	Prokaryote	Complex	"RNA polymerase, archaea"	12..13
M00186	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Tungstate transport system	3
M00188	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	NitT/TauT family transport system	3
M00189	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Molybdate transport system	3
M00190	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Iron(III) transport system	3
M00191	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Thiamine transport system	3
M00192	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Putative thiamine transport system	3
M00193	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Putative spermidine/putrescine transport system	4
M00194	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Maltose/maltodextrin transport system	4
M00196	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Raffinose/stachyose/melibiose transport system	4
M00197	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative fructooligosaccharide transport system	4
M00198	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative sn-glycerol-phosphate transport system	4
M00199	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	L-Arabinose/lactose transport system	3
M00200	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative sorbitol/mannitol transport system	4
M00201	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	alpha-Glucoside transport system	3
M00202	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Oligogalacturonide transport system	3
M00203	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Glucose/arabinose transport system	3
M00204	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Trehalose/maltose transport system	4
M00205	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	N-Acetylglucosamine transport system	3
M00206	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Cellobiose transport system	4
M00207	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative multiple sugar transport system	4
M00208	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Glycine betaine/proline transport system	3
M00209	Environmental information processing	Mineral and organic ion transport system	Prokaryote	Complex	Osmoprotectant transport system	3
M00210	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Phospholipid transport system	5
M00211	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative ABC transport system	2
M00212	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Ribose transport system	3
M00213	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	L-Arabinose transport system	3
M00214	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Methyl-galactoside transport system	3
M00215	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	D-Xylose transport system	3
M00216	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Multiple sugar transport system	3
M00217	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	D-Allose transport system	3
M00218	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Fructose transport system	3
M00219	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	AI-2 transport system	4
M00220	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Rhamnose transport system	4
M00221	Environmental information processing	"Saccharide, polyol, and lipid transport system"	Prokaryote	Complex	Putative simple sugar transport system	3
M00222	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Phosphate transport system	4
M00223	Environmental information processing	Phosphate and amino acid transport system	Prokaryote	Complex	Phosphonate transport system	3
M00224	Environmental information processing	ABC-2 type and other transport systems	Prokaryote	Complex	Fluoroquinolone transport system	3
